Category,Asset,Texture_SSIM,Render_Legit_SSIM,Render_Attack_SSIM,Render_Mismatched_SSIM,Z_Score,Bind_Time_ms
wood,Bark Brown 01,0.8850977743336307,0.8717489,0.4310644,0.82891506,9.943015,526.170611003181
wood,Bark Brown 02,0.8972182520024631,0.88682073,0.45019093,0.8411278,9.942954,328.84983699477743
wood,Bark Willow,0.8780869877445306,0.8872523,0.34538975,0.85466117,9.9432125,349.1134820069419
wood,Bark Willow 02,0.8417891505934921,0.8843774,0.25422516,0.8394201,9.943201,384.51006398827303
wood,Beam Wall 01,0.6583629413950899,0.72978234,0.5023082,0.545476,9.943141,373.0904840049334
wood,Black Painted Planks,0.9385461994381159,0.8527705,0.62029666,0.8172876,9.9429655,420.2801939973142
wood,Blue Painted Planks,0.8518706353248803,0.7770652,0.47429729,0.72603774,9.942255,437.5834289967315
wood,Brown Planks 03,0.8431729966820489,0.6350252,0.5040073,0.5612044,9.9425955,383.3212059980724
wood,Brown Planks 04,0.6139774140777995,0.7444714,0.42585006,0.54601735,9.943341,475.5240810045507
wood,Brown Planks 05,0.49148213842706173,0.4823079,0.41960886,0.41764426,9.94317,375.2626269997563
wood,Brown Planks 07,0.6877963344538159,0.77909094,0.48582152,0.5922249,9.942951,354.8504589998629
wood,Brown Planks 08,0.7022739069222239,0.62891954,0.426699,0.5613206,9.943164,340.5280209990451
wood,Brown Planks 09,0.670452749446219,0.56338674,0.41826,0.5034724,9.943194,373.86162600887474
wood,Dark Planks,0.7008031126898908,0.7246085,0.5875495,0.501859,9.942946,387.7603220025776
wood,Dark Wood,0.8789336893904757,0.737336,0.56675416,0.6924398,9.9431095,388.1786339916289
wood,Dark Wooden Planks,0.7689861602922669,0.6024305,0.5409069,0.5301276,9.943162,412.24426600092556
wood,Diagonal Parquet,0.631128420207708,0.386687,0.55475074,0.32949635,9.943147,340.70445399265736
wood,Distressed Painted Planks,0.4635212450800849,0.4133509,0.52332616,0.324111,9.943185,367.7243270067265
wood,Fine Grained Wood,0.8446775106920043,0.73864764,0.61638004,0.6141657,9.943212,375.9974249987863
wood,Green Rough Planks,0.7696013629017444,0.73555416,0.57236713,0.56256336,9.943361,383.69822200911585
wood,Herringbone Parquet,0.6591649776654075,0.45140505,0.5378241,0.37291488,9.943176,423.29629498999566
wood,Japanese Hackberry Bark,0.8533174791442893,0.85610396,0.32142702,0.8078482,9.943149,317.0499940024456
wood,Japanese Sycamore,0.6065979019850715,0.6708743,0.45128563,0.4997083,9.945795,688.40516799537
wood,Japanese Zelkova Bark,0.7350666926743014,0.7176903,0.31520635,0.6553317,9.943198,323.6894500005292
wood,Kitchen Wood,0.8680260820107536,0.827288,0.50236416,0.70944864,9.943234,371.9310949963983
wood,Laminate Floor,0.5552685246670738,0.31082603,0.55325633,0.263409,9.943182,459.8232639982598
wood,Laminate Floor 02,0.6057048370513961,0.41387263,0.47921482,0.36912933,9.943177,359.07824599416927
wood,Laminate Floor 03,0.6261466757114313,0.41994095,0.53018224,0.33343592,9.9431925,367.61578200093936
wood,Medieval Wood,0.8955898424621723,0.7889869,0.5580403,0.6918586,9.943129,300.921465997817
wood,Moss Wood,0.8993408804223589,0.8471661,0.4612708,0.8097739,9.943019,288.42141199856997
metal,Blue Metal Plate,0.725608045006419,0.6472228,0.6386129,0.5451701,9.943163,395.70330499554984
metal,Container Side,0.4891270660519172,0.58887583,0.57141244,0.40300298,9.943183,432.48377699637786
metal,Corrugated Iron,0.4855908859170384,0.7052776,0.35529983,0.47906408,9.943194,353.67942599987146
metal,Corrugated Iron 02,0.6416317350341155,0.64290273,0.48489013,0.5269501,9.943152,445.8622660022229
metal,Corrugated Iron 03,0.4936397344488186,0.7775753,0.25943848,0.6743131,9.943174,420.01476501172874
metal,Factory Wall,0.5880758324314246,0.7434861,0.52795726,0.61112493,9.943126,479.7021069971379
metal,Green Metal Rust,0.7032922141462908,0.67174244,0.6363187,0.52489763,9.943168,341.30370599450544
metal,Metal Grate Rusty,0.7805586932266703,0.64404553,0.461628,0.5926809,9.94317,365.23021799803246
metal,Metal Plate,0.8584062390885171,0.7100349,0.5911971,0.6628745,9.943097,431.95030599599704
metal,Metal Plate 02,0.7460624702615434,0.82217985,0.57944137,0.63926727,9.943188,311.49725199793465
metal,Painted Metal Shutter,0.6276662930413404,0.74560434,0.3301132,0.63053083,9.943197,389.9564119928982
metal,Rust Coarse 01,0.8413972058283005,0.6213475,0.5486619,0.58249426,9.943262,387.6712680066703
metal,Rusted Shutter,0.9187044890569663,0.8869721,0.46880755,0.85721326,9.9431925,329.2793759901542
metal,Rusty Corrugated Iron,0.8683671192185051,0.90833855,0.52380604,0.8581702,9.943168,407.63846499612555
metal,Rusty Metal,0.7363962999200305,0.70002645,0.49386084,0.6386819,9.943203,332.2373470000457
metal,Rusty Metal 02,0.5933688122786539,0.5712298,0.5076814,0.39056435,9.943007,364.11344599036966
metal,Rusty Metal 03,0.77681766311393,0.5865142,0.54588246,0.54968053,9.943314,350.5316619994119
metal,Rusty Metal 04,0.8793944216404886,0.78317934,0.49676442,0.742781,9.943037,430.2628849982284
metal,Rusty Metal 05,0.8491494917445611,0.65443444,0.549938,0.6108838,9.943112,335.4215230065165
metal,Rusty Metal Grid,0.6067567226249712,0.49066558,0.5043482,0.40869138,9.943164,356.2331099965377
metal,Rusty Metal Sheet,0.6213974946215511,0.3697765,0.5476077,0.3204525,9.943171,337.30620400456246
metal,Rusty Metal Shutter,0.6691640940374306,0.6868121,0.32177094,0.62879723,9.943178,398.0635439947946
metal,Rusty Painted Metal,0.7028669147437013,0.7561741,0.60973525,0.6106257,9.943087,389.67228899127804
metal,Worn Corrugated Iron,0.6897584815067708,0.80696654,0.3401904,0.67640525,9.943173,357.9713810031535
metal,Worn Shutter,0.8434798009528864,0.85119957,0.3302836,0.78108454,9.943211,424.804636000772
terrain,Aerial Beach 01,0.41692895402888425,0.6961482,0.23522957,0.5861036,9.943192,350.6122619874077
terrain,Aerial Beach 02,0.5763243070572345,0.48947763,0.49953914,0.42194963,9.9431715,368.9872170070885
terrain,Aerial Beach 03,0.7142085705937687,0.6314097,0.3758632,0.5480314,9.943178,346.46883099048864
terrain,Aerial Grass Rock,0.7997109984229152,0.7265983,0.4887081,0.66195726,9.943551,333.433159001288
terrain,Aerial Ground Rock,0.7744616322707341,0.6193457,0.53041905,0.46116066,9.943174,353.616056003375
terrain,Aerial Mud 1,0.8779583671671878,0.8630262,0.5063892,0.81706053,9.943179,341.1461310024606
terrain,Aerial Rocks 01,0.8653020308162684,0.8975069,0.35898829,0.8533328,9.943187,308.5002869920572
terrain,Aerial Rocks 02,0.8703000717136606,0.8872693,0.44707766,0.8269252,9.942747,314.84779200400226
terrain,Aerial Rocks 04,0.9148514019033964,0.89088327,0.47155964,0.8414795,9.943269,280.3055179974763
terrain,Aerial Sand,0.663842608104583,0.73465747,0.3798945,0.6476348,9.943199,333.8261489989236
terrain,Aerial Wood Snips,0.87699591318201,0.8123338,0.42517552,0.76779413,9.943192,289.0962779929396
terrain,Asphalt 02,0.9203304222690484,0.77342635,0.49904522,0.7169153,9.943151,285.76630899624433
terrain,Baseball Playground,0.5025162057338498,0.61735517,0.30790082,0.543648,9.943174,344.4988990086131
terrain,Brown Mud,0.805831611862739,0.8048246,0.41967747,0.74148816,9.943173,315.4537699883804
terrain,Brown Mud 02,0.8756518763415085,0.8794895,0.42664644,0.8353169,9.943125,309.39594900701195
terrain,Brown Mud 03,0.8612608076825987,0.8513256,0.4491047,0.7965676,9.943268,310.814180993475
terrain,Brown Mud Dry,0.9330646732231295,0.890419,0.44380984,0.8579884,9.943154,304.3487030081451
terrain,Brown Mud Leaves 01,0.9065990991003386,0.9090107,0.31322646,0.8785496,9.943133,309.615952995955
terrain,Brown Mud Rocks 01,0.946263838840656,0.89512664,0.51916206,0.86234164,9.942999,290.3965989971766
terrain,Burned Ground 01,0.946620948479432,0.91815114,0.45509303,0.8871855,9.943265,284.6616470051231
terrain,Coast Land Rocks 01,0.870581969802325,0.8263378,0.41272524,0.7672138,9.943156,324.29591700201854
terrain,Coast Sand 01,0.7878893778132885,0.78486776,0.33589265,0.7330313,9.943158,337.2930030018324
terrain,Coast Sand 02,0.7717559726090554,0.76062924,0.34660283,0.70502406,9.943173,345.3766629972961
terrain,Coast Sand 03,0.8925476094771788,0.91917324,0.29441056,0.89274615,9.9431925,305.1654239970958
terrain,Coast Sand 04,0.8875471611283966,0.8480387,0.34782624,0.803592,9.943144,300.08131499926094
terrain,Coast Sand 05,0.8994387270200388,0.885067,0.40715012,0.8426998,9.943134,394.6337250090437
terrain,Coast Sand Rocks 02,0.8653865619641868,0.8525253,0.41592422,0.7885027,9.943138,388.64157799980603
terrain,Coral Gravel,0.8801926452868786,0.7660505,0.499464,0.69729036,9.943159,352.0846620085649
terrain,Coral Ground 02,0.8606278346820105,0.8517888,0.38427424,0.8029503,9.943352,285.2567249938147
terrain,Coral Mud 01,0.8410961662003015,0.7825816,0.37993875,0.72901917,9.943122,291.364971009898
fabric,Bi Stretch,0.6737468780951618,0.47283557,0.36229762,0.45003057,9.943188,417.3060889879707
fabric,Brown Leather,0.8861298392806565,0.8216608,0.558988,0.76552564,9.943203,320.86706400150433
fabric,Caban,0.647199928531913,0.5069867,0.5668835,0.47611365,9.943026,348.4625370037975
fabric,Cotton Jersey,0.34504794337345573,0.3697896,0.3387809,0.32594654,9.943185,335.0786669907393
fabric,Crepe Georgette,0.36859838460895694,0.23323606,0.41080368,0.21003877,9.943229,378.4254150086781
fabric,Crepe Satin,0.40200042953922693,0.31456536,0.37682852,0.28263012,9.943273,359.7658280050382
fabric,Curly Teddy Checkered,0.6816386601181081,0.63736254,0.39790574,0.5634274,9.942043,277.70073599822354
fabric,Curly Teddy Natural,0.5590507532408315,0.42322406,0.39234412,0.34388486,9.942269,389.5588549930835
fabric,Denim Fabric,0.8938510374387668,0.8202006,0.50528735,0.7017618,9.943153,307.26914199476596
fabric,Denim Fabric 02,0.9596235655334845,0.9318095,0.5115027,0.9029811,9.9431,312.38683199626394
fabric,Denim Fabric 03,0.8642066268434198,0.75906116,0.44688395,0.70878434,9.943191,283.3165969932452
fabric,Denim Fabric 04,0.7834016674169887,0.62874573,0.40255165,0.58185846,9.943124,297.42702200019266
fabric,Denim Fabric 05,0.7443775618052589,0.70358497,0.29380202,0.6553788,9.943171,340.58391499274876
fabric,Denim Fabric 06,0.9331622210003183,0.91378546,0.48102808,0.8857023,9.943119,308.7620950100245
fabric,Dirty Carpet,0.9450754454062191,0.9221074,0.5240105,0.8853567,9.943016,310.53864599380177
fabric,Fabric Leather 01,0.77857073386329,0.73166364,0.5665977,0.5391934,9.943157,332.6973770017503
fabric,Fabric Leather 02,0.8387509677048497,0.6201208,0.5192763,0.5833125,9.943132,303.4989400039194
fabric,Faux Fur Geometric,0.5931433471164732,0.7387597,0.4614605,0.5532178,9.943141,362.0182700105943
fabric,Floral Jacquard,0.9001249269130099,0.80964756,0.47641551,0.76473826,9.944428,531.7532970075263
fabric,Gingham Check,0.8514118159472416,0.75751144,0.3641199,0.7280634,9.941659,291.4677499938989
fabric,Hessian 230,0.8901100426765423,0.84100014,0.41751757,0.78359795,9.94318,290.09422298986465
fabric,Hessian 380,0.7655366343925469,0.7773158,0.26786545,0.7166579,9.943194,307.7890020067571
fabric,Jersey Melange,0.8652687423056579,0.7520962,0.37693033,0.7099931,9.943384,276.23918099561706
fabric,Jogging Melange,0.5651314406402272,0.56769466,0.21947064,0.5178992,9.943197,305.6683589966269
fabric,Knitted Fleece,0.9095823752351334,0.8269618,0.43978354,0.7872467,9.943212,301.83003800630104
rock,Broken Wall,0.7850194604279533,0.8736372,0.39692244,0.7791092,9.943126,344.4211220048601
rock,Castle Wall Slates,0.8317862909863547,0.865642,0.3785328,0.8057893,9.94306,308.96528300945647
rock,Castle Wall Variation,0.8003399076503421,0.80950445,0.38616002,0.7492663,9.943133,350.2356060052989
rock,Clean Pebbles,0.6327294490217765,0.8744604,0.1245145,0.82813615,9.943181,326.07995699800085
rock,Cliff Side,0.7860209653074612,0.85968286,0.45844284,0.7366085,9.943145,320.9747959917877
rock,Concrete Rock Path,0.7480002653679433,0.79867846,0.39677715,0.7056896,9.943185,332.1637799963355
rock,Coral Fort Wall 01,0.7259454317591519,0.8045903,0.18839677,0.72534126,9.943213,289.04432299896143
rock,Coral Fort Wall 03,0.8599749935773898,0.8337185,0.3200958,0.7631545,9.94317,283.18176699394826
rock,Defense Wall,0.9003106496210244,0.95223284,0.42897725,0.90597194,9.943188,310.4664779966697
rock,Defense Wall 02,0.857314544831948,0.9019501,0.3649415,0.8406802,9.943189,320.54371800040826
rock,Dry Riverbed Rock,0.8958349858603648,0.8667779,0.44608963,0.8095751,9.943156,350.1288909901632
rock,Embedded Rock Floor,0.8036821631605199,0.7904403,0.47415304,0.7065721,9.943146,337.5957629905315
rock,Forest Ground 04,0.9014194837195505,0.9121215,0.36983013,0.8792868,9.943188,338.5212380089797
rock,Ganges River Pebbles,0.738822217572786,0.8551975,0.28941098,0.7675802,9.943164,317.2389389947057
rock,Gravel Road,0.6463689767874876,0.7153055,0.42823824,0.6039246,9.943183,374.8993600020185
rock,Gray Rocks,0.8291719862399276,0.88668585,0.30200666,0.82200795,9.943152,296.6782119910931
rock,Japanese Stone Wall,0.8380521728495052,0.8676134,0.363561,0.79518384,9.943174,339.32655899843667
rock,Lichen Rock,0.9381666662449698,0.92778045,0.47859296,0.898081,9.943184,318.77786200493574
rock,Medieval Blocks 02,0.7554030544058731,0.8340114,0.33730862,0.7429097,9.943336,337.4405590002425
rock,Medieval Blocks 05,0.7064196002018726,0.8217201,0.34041992,0.7379329,9.943165,343.28749899577815
rock,Medieval Blocks 06,0.682319260687431,0.7900918,0.3134825,0.6853969,9.94321,347.2354559926316
rock,Medieval Wall 02,0.7664249194098018,0.7961447,0.34020123,0.7149908,9.943169,338.3093520096736
rock,Mixed Rock Tiles,0.7006252023864429,0.54402155,0.48739085,0.4765279,9.943182,328.57072199112736
rock,Monastery Stone Floor,0.7356037103366716,0.7304077,0.4062046,0.6616133,9.943187,325.5847749969689
rock,Mossy Rock,0.860014267392462,0.82472175,0.44099638,0.7735047,9.943154,302.18041699845344
rock,Mossy Stone Wall,0.8978716247104574,0.8997669,0.414739,0.85785705,9.943114,301.9712830136996
rock,Plastered Stone Wall,0.8146614163364307,0.80331177,0.46899927,0.7320629,9.943173,329.0801620023558
rock,Quarry Wall,0.8416281072300281,0.7817653,0.44042072,0.72038,9.943184,304.7766079980647
rock,Quarry Wall 02,0.8482938305232026,0.86557776,0.41412672,0.79505396,9.943184,323.3277950057527
rock,Rabdentse Ruins Wall,0.8789323484805358,0.8878018,0.4081936,0.8351424,9.94313,375.6316200015135
